plan_id,cluster_id,asset,cluster_decision,lane_opportunity,lane_bias,lane_side,lane_status,lane_priority_score,conflict_role,support_state,lane_action,resolution_action,resolution_score,source_lanes,cluster_score,evidence,required_record,next_step
split-first-eth-eth-chain-flow-context,eth_paper_long,ETH,paper_long,eth_chain_flow_context,neutral,,paper_chain_flow_watch,66.08834470,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,170.06648785,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: observations=4, hit15=1.00000000, mean_dir15=0.00134586, funding_support=0.10553348","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/eth_chain_flow_context as a separate non-directional setup, not as a cluster repeat"
split-first-zec-zec-perp-whitebit-futures-positioning,zec_paper_long,ZEC,paper_long,zec_perp_whitebit_futures_positioning,short,short,paper_oi_funding_crowding_watch,73.12045099,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,169.39469100,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"WhiteBIT Futures ZEC_PERP: oi=60624892.16000000, vol24=14788228.53169752, oi_vol=4.09953714, funding=-0.21166400, basis=0.30162834","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ZEC/zec_perp_whitebit_futures_positioning outside the cluster repeat and use it as an opposite-direction control
split-first-eth-eth-l2-imbalance-probe,eth_paper_long,ETH,paper_long,eth_l2_imbalance_probe,neutral,,l2_imbalance_15m_only_probe,69.67839229,direction_conflict_lane,paper_15m_supported,label_this_lane_separately,separate_non_directional_lane,168.65653544,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: size=100.00, net15=61.78392287bps, net1h=-27.79847713bps, imbalance_10bps=0.13780812, depth_usage=0.00001000","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ETH/eth_l2_imbalance_probe as a separate non-directional setup, not as a cluster repeat"
split-first-zec-zec-institutional-flow-news-event-quality-gate,zec_paper_long,ZEC,paper_long,zec_institutional_flow_news_event_quality_gate,long,long,repeat_single_source_label,40.97827681,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,167.25251682,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: kind=institutional_flow, side=paper_long_news_event, sources=1, labels=1, support=1, reject=0, mean1h=749.15979224, mean4h=226.09227009, title=Winklevoss-Backed Zcash Treasury Plunges Nearly 40% on ZEC Privacy Bug Concerns","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_institutional_flow_news_event_quality_gate alone before any repeat
split-first-zec-zec-narrative-event-news-event-quality-gate,zec_paper_long,ZEC,paper_long,zec_narrative_event_news_event_quality_gate,long,long,repeat_single_source_label,40.92857143,dominant_lane,unlabeled,label_this_lane_separately,label_before_lane_repeat,167.20281144,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: kind=narrative_event, side=paper_long_news_event, sources=1, labels=1, support=1, reject=0, mean1h=85.71428571, mean4h=632.85714286, title=AI Is Helping Discover Tech Vulnerabilities—And Zcash Is Just the Latest Example","lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_narrative_event_news_event_quality_gate alone before any repeat
split-first-eth-eth-2296152-event-crypto-hedge,eth_paper_long,ETH,paper_long,eth_2296152_event_crypto_hedge,short,short,event_crypto_hedge_watch,64.12560212,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,163.10374527,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: event_market=2296152, action=paper_short, bias=risk_escalation, gap=0.100000, edge_after_ask=0.090000, depth_5c=9837.130000, question=Israel closes its airspace by June 15?","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/eth_2296152_event_crypto_hedge outside the cluster repeat and use it as an opposite-direction control
split-first-eth-public-hypertracker-example-hyna-eth-wallet-flow-actionability,eth_paper_long,ETH,paper_long,public_hypertracker_example_hyna_eth_wallet_flow_actionability,short,short,wallet_flow_watch,63.58517416,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,162.56331731,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: wallet=public_hypertracker_example, source_coin=hyna:ETH, fills=40, net_buy_usd=-385.04173000, net_pnl_after_fees=369.33399700, position_notional=0.00000000, mark=1697.300000000000","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/public_hypertracker_example_hyna_eth_wallet_flow_actionability outside the cluster repeat and use it as an opposite-direction control
split-first-zec-zec-protocol-activity-context,zec_paper_long,ZEC,paper_long,zec_protocol_activity_context,neutral,,paper_protocol_activity_watch,59.56100412,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,160.83524413,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC/Zcash: commits4w=143, telegram=0, funding=-0.24933150, spread=0.000107547532","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model ZEC/zec_protocol_activity_context as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-1971905-event-crypto-hedge,btc_paper_long,BTC,paper_long,btc_1971905_event_crypto_hedge,long,long,event_crypto_hedge_after_refresh_candidate,103.04009142,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,156.26392796,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: event_market=1971905, action=paper_long, bias=risk_relief, gap=0.335000, edge_after_ask=0.330000, depth_5c=214008.090000, question=Strait of Hormuz traffic returns to normal by end of June?",negative-control label and reason this lane must not be merged into the cluster action,use BTC/btc_1971905_event_crypto_hedge as a conflict-control lane
split-first-eth-eth-20260619-short-dated-delta-hedge-check,eth_paper_long,ETH,paper_long,eth_20260619_short_dated_delta_hedge_check,short,short,quote_only_hedge_watch,62.09263045,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,isolate_opposite_lane,156.07077360,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH 2026-06-19: hedge=short_dated_delta_hedge_check, interval=4h_or_large_delta_move, iv_premium_24h=-50.5872, max_loss_pct=8.550000, premium_to_rv=0.445808, spread=0.029674, depth=9736.42","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/eth_20260619_short_dated_delta_hedge_check outside the cluster repeat and use it as an opposite-direction control
split-first-eth-eth-event-pressure-cluster,eth_paper_long,ETH,paper_long,eth_event_pressure_cluster,long,long,repeated_event_context,65.66061140,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,154.63875455,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: sources=rss:decrypt, events=2, newest_age_h=3.595924, top=stablecoin_event: Reform UK's Farage 'Evading' Scrutiny Over Tether Billionaire's $6.7M Gift: Labour || institutional_flow: Tom Lee's Ethereum Treasury BitMine Prices Preferred Shares With 9.5% Dividend",negative-control label and reason this lane must not be merged into the cluster action,use ETH/eth_event_pressure_cluster as a conflict-control lane
split-first-btc-btc-event-pressure-cluster,btc_paper_long,BTC,paper_long,btc_event_pressure_cluster,long,long,multi_source_event_pressure,100.95871315,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,154.18254969,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: sources=attention_price, rss:coindesk, rss:cointelegraph, rss:decrypt, events=19, newest_age_h=0.000000, top=institutional_flow: Spot Bitcoin ETFs bleed $1.7B as outflow streak hits four weeks || institutional_flow: Blame bitcoin's tumble on rising inflation, not Strategy, 10xResearch argues || institutional_flow: Strategy Buys Bitcoin, Pads Cash Reserves Following Biggest Weekly Stock Drop Since 2022 || institutional_flow: Strategy buys 1,550 Bitcoin after controversial 32 BTC sale",negative-control label and reason this lane must not be merged into the cluster action,use BTC/btc_event_pressure_cluster as a conflict-control lane
split-first-eth-eth-okx-liquidation-followup,eth_paper_long,ETH,paper_long,eth_okx_liquidation_followup,short,short,liquidation_label_needed_watch,55.00637767,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,153.98452082,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: obs=3, monitor_score=0.02755346, cont15=, spread_bps=0.05873939, near_depth_5bps=1019967.68334000","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ETH/eth_okx_liquidation_followup outside the cluster repeat and use it as an opposite-direction control
split-first-eth-eth-long-atm-straddle-20260626-volatility-actionability,eth_paper_long,ETH,paper_long,eth_long_atm_straddle_20260626_volatility_actionability,long,long,volatility_quote_mechanics_watch,69.72009742,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,use_as_conflict_control,153.69824057,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH 2026-06-26: iv_premium_24h=-52.5572, quote_spread=0.019139, max_loss_pct=10.550000, premium_to_realized_move=0.427681, top_ask_depth_usd=10048.71",negative-control label and reason this lane must not be merged into the cluster action,use ETH/eth_long_atm_straddle_20260626_volatility_actionability as a conflict-control lane
split-first-eth-eth-1962237-event-crypto-hedge,eth_paper_long,ETH,paper_long,eth_1962237_event_crypto_hedge,long,long,event_crypto_hedge_watch,64.17447804,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,153.15262119,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",789.78143152,"ETH: event_market=1962237, action=paper_long, bias=risk_relief, gap=0.085000, edge_after_ask=0.080000, depth_5c=81670.040000, question=US x Iran permanent peace deal by June 30, 2026?",negative-control label and reason this lane must not be merged into the cluster action,use ETH/eth_1962237_event_crypto_hedge as a conflict-control lane
split-first-btc-btc-20260626-medium-dated-delta-hedge-check,btc_paper_long,BTC,paper_long,btc_20260626_medium_dated_delta_hedge_check,neutral,,paper_delta_hedge_candidate,88.19158652,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,separate_non_directional_lane,151.41542306,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC 2026-06-26: hedge=medium_dated_delta_hedge_check, interval=daily_or_large_delta_move, iv_premium_24h=-43.7860, max_loss_pct=7.550000, premium_to_rv=0.398156, spread=0.040541, depth=149039.26","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_20260626_medium_dated_delta_hedge_check as a separate non-directional setup, not as a cluster repeat"
split-first-btc-mstr-btc-relative-value,btc_paper_long,BTC,paper_long,mstr_btc_relative_value,relative_value,,paper_relative_value_watch,80.41807720,dominant_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,148.64191374,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,MSTR strongly underperforms BTC; check announcement/news and equity-market risk before action,"relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/mstr_btc_relative_value as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-20260619-short-dated-delta-hedge-check,btc_paper_long,BTC,paper_long,btc_20260619_short_dated_delta_hedge_check,short,short,paper_delta_hedge_candidate,88.12483627,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,isolate_opposite_lane,146.34867281,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC 2026-06-19: hedge=short_dated_delta_hedge_check, interval=4h_or_large_delta_move, iv_premium_24h=-41.5160, max_loss_pct=6.200000, premium_to_rv=0.420546, spread=0.041152, depth=122750.08","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep BTC/btc_20260619_short_dated_delta_hedge_check outside the cluster repeat and use it as an opposite-direction control
split-first-btc-btc-public-treasury-flow,btc_paper_long,BTC,paper_long,btc_public_treasury_flow,neutral,,public_treasury_concentration_watch,77.11440000,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,145.33823654,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: dominance=6.08000000, total_holdings=1277540.33138047, top=Strategy/MSTR.US, top_supply_pct=4.02500000, funding=0.10950000, oi_notional=1930148298.99","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_public_treasury_flow as a separate non-directional setup, not as a cluster repeat"
split-first-btc-crypto-equity-proxy-lead-short,btc_paper_long,BTC,paper_long,crypto_equity_proxy_lead_short,short,short,paper_short_candidate,80.56427340,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,143.78810994,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,crypto-linked equities underperform BTC while BTC has not repriced much,"opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep BTC/crypto_equity_proxy_lead_short outside the cluster repeat and use it as an opposite-direction control
split-first-btc-exchange-beta-lead,btc_paper_long,BTC,paper_long,exchange_beta_lead,short,short,paper_short_candidate,80.38878100,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,143.61261754,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,COIN/HOOD underperform BTC while BTC has not repriced much,"opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep BTC/exchange_beta_lead outside the cluster repeat and use it as an opposite-direction control
split-first-btc-btc-25sep26-basis,btc_paper_long,BTC,paper_long,btc-25sep26_basis,relative_value,,paper_short_basis_watch,74.43098966,dominant_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,142.65482620,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC-25SEP26: ann_basis=0.03001697, basis=0.00893933, dte=108.7004, volume_usd=19486290.00000000, spread=0.00019336","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc-25sep26_basis as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-12jun26-basis,btc_paper_long,BTC,paper_long,btc-12jun26_basis,relative_value,,paper_long_basis_watch,74.00005872,dominant_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,142.22389526,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC-12JUN26: ann_basis=-0.03045096, basis=-0.00030871, dte=3.7004, volume_usd=14588660.00000000, spread=0.00003903","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc-12jun26_basis as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-risk-off-short-stack,btc_paper_long,BTC,paper_long,btc_risk_off_short_stack,short,short,paper_watch,74.87120382,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,138.09504036,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"Hyperliquid/BTC-USD perpetual short funding ticket score=3.42283217; risk-off pressure is visible, but crypto already repriced; btc5d=0.0024, eth5d=-0.0593; risk-off shock is visible, but crypto may already have repriced","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep BTC/btc_risk_off_short_stack outside the cluster repeat and use it as an opposite-direction control
split-first-near-near-sum-top-long-short-ratio-intraday-derivatives-feature,near_paper_long,NEAR,paper_long,near_sum_top_long_short_ratio_intraday_derivatives_feature,short,short,intraday_derivatives_feature_priority,84.00000000,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,137.35533500,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEARUSDT: feature=sum_top_long_short_ratio, obs=4885, bucket=high, low_1h=-0.002278041268, high_1h=0.001528627433, low_hit=0.44844517, high_hit=0.52945990, score=399.62678044","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep NEAR/near_sum_top_long_short_ratio_intraday_derivatives_feature outside the cluster repeat and use it as an opposite-direction control
split-first-near-near-count-long-short-ratio-intraday-derivatives-feature,near_paper_long,NEAR,paper_long,near_count_long_short_ratio_intraday_derivatives_feature,short,short,intraday_derivatives_feature_priority,84.00000000,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,137.35533500,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEARUSDT: feature=count_long_short_ratio, obs=4885, bucket=high, low_1h=-0.001067324711, high_1h=0.001734039715, low_hit=0.46153846, high_hit=0.52127660, score=298.45224870","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep NEAR/near_count_long_short_ratio_intraday_derivatives_feature outside the cluster repeat and use it as an opposite-direction control
split-first-near-near-count-top-long-short-ratio-intraday-derivatives-feature,near_paper_long,NEAR,paper_long,near_count_top_long_short_ratio_intraday_derivatives_feature,short,short,intraday_derivatives_feature_priority,84.00000000,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,137.35533500,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEARUSDT: feature=count_top_long_short_ratio, obs=4885, bucket=high, low_1h=0.000075127649, high_1h=0.002635714879, low_hit=0.46235679, high_hit=0.54909984, score=275.14920118","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep NEAR/near_count_top_long_short_ratio_intraday_derivatives_feature outside the cluster repeat and use it as an opposite-direction control
split-first-near-near-mean-funding-rate-binance-derivatives-symbol-feature,near_paper_long,NEAR,paper_long,near_mean_funding_rate_binance_derivatives_symbol_feature,neutral,,persistent_derivatives_symbol_feature_prior,78.00000000,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,136.35533500,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEARUSDT: feature=mean_funding_rate, historical_bucket=high_mean_only, recent_bucket=high_mean_only, historical_score=340.64123123, recent_score=305.40671778, combined=417.73879749","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model NEAR/near_mean_funding_rate_binance_derivatives_symbol_feature as a separate non-directional setup, not as a cluster repeat"
split-first-near-near-sum-funding-rate-binance-derivatives-symbol-feature,near_paper_long,NEAR,paper_long,near_sum_funding_rate_binance_derivatives_symbol_feature,neutral,,persistent_derivatives_symbol_feature_prior,78.00000000,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,136.35533500,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEARUSDT: feature=sum_funding_rate, historical_bucket=high_mean_only, recent_bucket=high_mean_only, historical_score=340.64123123, recent_score=305.40671778, combined=417.73879749","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model NEAR/near_sum_funding_rate_binance_derivatives_symbol_feature as a separate non-directional setup, not as a cluster repeat"
split-first-zec-zec-security-risk-news-event-quality-gate,zec_paper_long,ZEC,paper_long,zec_security_risk_news_event_quality_gate,short,short,repeat_single_source_label,39.49734757,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,135.77158758,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",762.74240011,"ZEC: kind=security_risk, side=paper_short_news_event, sources=1, labels=1, support=1, reject=0, mean1h=159.46951318, mean4h=-1380.23613133, title=Morning Minute: Massive ZCash Exploit Found by Claude, Extent Unknown","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep ZEC/zec_security_risk_news_event_quality_gate outside the cluster repeat and use it as an opposite-direction control
split-first-btc-btc-20260611-expiry-gamma-scalp-check,btc_paper_long,BTC,paper_long,btc_20260611_expiry_gamma_scalp_check,neutral,,expiry_gamma_hedge_watch,70.10196026,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,separate_non_directional_lane,133.32579680,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC 2026-06-11: hedge=expiry_gamma_scalp_check, interval=2h_or_large_delta_move, iv_premium_24h=-36.5560, max_loss_pct=3.500000, premium_to_rv=0.472770, spread=0.058824, depth=63924.13","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_20260611_expiry_gamma_scalp_check as a separate non-directional setup, not as a cluster repeat"
split-first-near-near-mean-sum-top-long-short-ratio-binance-derivatives-symbol-feature,near_paper_long,NEAR,paper_long,near_mean_sum_top_long_short_ratio_binance_derivatives_symbol_feature,short,short,persistent_derivatives_symbol_feature_prior,78.00000000,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,131.35533500,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEARUSDT: feature=mean_sum_top_long_short_ratio, historical_bucket=high_mean_only, recent_bucket=high_mean_only, historical_score=297.51358782, recent_score=294.17664037, combined=395.34457198","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep NEAR/near_mean_sum_top_long_short_ratio_binance_derivatives_symbol_feature outside the cluster repeat and use it as an opposite-direction control
split-first-btc-btc-l2-imbalance-probe,btc_paper_long,BTC,paper_long,btc_l2_imbalance_probe,neutral,,l2_imbalance_15m_only_probe,66.80256058,direction_conflict_lane,paper_15m_supported,label_this_lane_separately,separate_non_directional_lane,130.02639712,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: size=100.00, net15=33.02560578bps, net1h=-36.57479422bps, imbalance_10bps=0.74032299, depth_usage=0.00007456","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_l2_imbalance_probe as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-long-atm-straddle-20260626-volatility-actionability,btc_paper_long,BTC,paper_long,btc_long_atm_straddle_20260626_volatility_actionability,relative_value,,volatility_candidate_needs_sweep_hedge,66.79074704,dominant_lane,mechanics_unvalidated,label_this_lane_separately,separate_non_directional_lane,130.01458358,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC 2026-06-26: iv_premium_24h=-43.7860, quote_spread=0.040541, max_loss_pct=7.550000, premium_to_realized_move=0.398156, top_ask_depth_usd=149039.26","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_long_atm_straddle_20260626_volatility_actionability as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-long-atm-straddle-20260619-volatility-actionability,btc_paper_long,BTC,paper_long,btc_long_atm_straddle_20260619_volatility_actionability,relative_value,,volatility_candidate_needs_sweep_hedge,66.67948032,dominant_lane,mechanics_unvalidated,label_this_lane_separately,separate_non_directional_lane,129.90331686,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC 2026-06-19: iv_premium_24h=-41.5160, quote_spread=0.041152, max_loss_pct=6.200000, premium_to_realized_move=0.420546, top_ask_depth_usd=122750.08","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_long_atm_straddle_20260619_volatility_actionability as a separate non-directional setup, not as a cluster repeat"
split-first-btc-btc-2296152-event-crypto-hedge,btc_paper_long,BTC,paper_long,btc_2296152_event_crypto_hedge,short,short,event_crypto_hedge_watch,64.69511347,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,127.91895001,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: event_market=2296152, action=paper_short, bias=risk_escalation, gap=0.100000, edge_after_ask=0.090000, depth_5c=9837.130000, question=Israel closes its airspace by June 15?","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep BTC/btc_2296152_event_crypto_hedge outside the cluster repeat and use it as an opposite-direction control
split-first-btc-public-hypertracker-example-hyna-btc-wallet-flow-actionability,btc_paper_long,BTC,paper_long,public_hypertracker_example_hyna_btc_wallet_flow_actionability,short,short,wallet_flow_watch,63.07599161,direction_conflict_lane,unlabeled,label_this_lane_separately,isolate_opposite_lane,126.29982815,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: wallet=public_hypertracker_example, source_coin=hyna:BTC, fills=40, net_buy_usd=-281.87345000, net_pnl_after_fees=269.56085400, position_notional=0.00000000, mark=64034.000000000000","opposite-lane source quality, causal timestamp, failure reason for cluster direction, separate label",keep BTC/public_hypertracker_example_hyna_btc_wallet_flow_actionability outside the cluster repeat and use it as an opposite-direction control
split-first-btc-btc-protocol-activity-context,btc_paper_long,BTC,paper_long,btc_protocol_activity_context,neutral,,paper_protocol_activity_watch,57.91563786,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,126.13947440,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC/Bitcoin: commits4w=279, telegram=0, funding=0.10950000, spread=0.000135847289","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/btc_protocol_activity_context as a separate non-directional setup, not as a cluster repeat"
split-first-btc-miner-stress-vs-btc,btc_paper_long,BTC,paper_long,miner_stress_vs_btc,neutral,,paper_risk_context,53.57038000,direction_conflict_lane,unlabeled,label_this_lane_separately,separate_non_directional_lane,121.79421654,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"miners materially underperform BTC, which can indicate equity-market stress around crypto beta","relative-value or neutral mechanics, hedge leg, unwind path, costs, margin, and mark source","model BTC/miner_stress_vs_btc as a separate non-directional setup, not as a cluster repeat"
split-first-near-near-oi-funding-crowding-watch,near_paper_long,NEAR,paper_long,near_oi_funding_crowding_watch,long,long,paper_oi_funding_crowding_watch,75.58374770,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,118.93908270,"symbol_lane_paper, symbol_lane_promoted_repeat",333.55335002,"NEAR: obs=17, oi_change=0.02112340, ret24=0.10186976, funding=0.10950000, oi_vol=1.19648594, impact=0.000438778246, reason=OI notional is rising into an up move; test crowded continuation versus late-long squeeze risk",negative-control label and reason this lane must not be merged into the cluster action,use NEAR/near_oi_funding_crowding_watch as a conflict-control lane
split-first-btc-btc-1962237-event-crypto-hedge,btc_paper_long,BTC,paper_long,btc_1962237_event_crypto_hedge,long,long,event_crypto_hedge_watch,64.74942004,direction_conflict_lane,unlabeled,label_this_lane_separately,use_as_conflict_control,117.97325658,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: event_market=1962237, action=paper_long, bias=risk_relief, gap=0.085000, edge_after_ask=0.080000, depth_5c=81670.040000, question=US x Iran permanent peace deal by June 30, 2026?",negative-control label and reason this lane must not be merged into the cluster action,use BTC/btc_1962237_event_crypto_hedge as a conflict-control lane
split-first-btc-btc-long-atm-straddle-20260612-volatility-actionability,btc_paper_long,BTC,paper_long,btc_long_atm_straddle_20260612_volatility_actionability,long,long,volatility_quote_mechanics_watch,69.73741670,direction_conflict_lane,mechanics_unvalidated,label_this_lane_separately,use_as_conflict_control,117.96125324,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC 2026-06-12: iv_premium_24h=-37.9260, quote_spread=0.077922, max_loss_pct=4.000000, premium_to_realized_move=0.461497, top_ask_depth_usd=86608.35",negative-control label and reason this lane must not be merged into the cluster action,use BTC/btc_long_atm_straddle_20260612_volatility_actionability as a conflict-control lane
split-first-btc-btc-institutional-flow-news-event-quality-gate,btc_paper_long,BTC,paper_long,btc_institutional_flow_news_event_quality_gate,long,long,repeat_after_pending_archive,56.49579164,direction_conflict_lane,pending_label,label_this_lane_separately,use_as_conflict_control,104.71962818,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",432.23836540,"BTC: kind=institutional_flow, side=paper_long_news_event, sources=3, labels=9, support=3, reject=3, mean1h=118.33107131, mean4h=134.71209543, title=Strategy’s Saylor signals BTC buy as preferred dividend pay date vote looms",negative-control label and reason this lane must not be merged into the cluster action,use BTC/btc_institutional_flow_news_event_quality_gate as a conflict-control lane
